location,date,grocery,parks,residential,retail_rec,transit,workplace,GPL_CD,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,REGION_CD,REGION_NM,AREALHECT,ALL_AGES,pop_under_10,pop_10_19,pop_20_29,pop_30_39,pop_40_49,pop_50_59,pop_60_69,pop_70_79,pop_80_89,pop_over_90,pop_over_70,pop_under_30,CTY18NM.x,county_gdp_pc,county_gdp_pc_growth,Area_Name,la_gdp_pc,la_gdp_pc_growth,final_gdp_cap,final_gdp_pc_growth,CTY18NM.y,county_remain,county_pop,Area,la_remain,final_remain,log_population,log_area,density,income_quint
Aberdeen City,2020-02-29,4.073,2.273,-0.658,7.095,8.821,2.976,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-01,3.085,-15.094,-1.053,6.619,16.226,2.344,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-02,2.774,16.667,-0.02,4.619,7.997,1.501,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-03,4.448,14.493,-0.175,0.895,3.964,1.469,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-04,5.954,10.39,0.109,5.101,1.108,1.261,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-05,4.82,20.29,-0.112,-0.627,1.61,1.569,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-06,2.426,3.798,-0.139,0.236,2.125,0.654,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-07,2.107,-14.773,0.49,-2.208,2.571,1.488,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-08,5.195,20.755,-1.264,1.222,9.647,0.391,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
Aberdeen City,2020-03-09,1.541,-1.515,0.567,2.685,1.141,-0.107,GGL001,S12000033,Aberdeen City,S12,Council Area,S92000003,Scotland,18561.04,227560,10.224995605554579,8.919405870979082,18.48611355246968,16.646159254702056,12.246879943751098,12.437598875021973,10.031200562489014,6.715591492353665,3.6078396906310424,0.6842151520478116,11.007646335032518,37.630515029003334,NA,NA,NA,Aberdeen City,50969,2.8,50969,2.8,NA,NA,NA,Aberdeen City,61.1,61.1,12.335169218864584,9.828820039253078,12.260088874330316,5th Quintile
